driver version:	441.20
NVML version:	10.441.20


devices_count:	1
devices:
- index:	0
  name:		GeForce GTX 950
  fan_speed:	0%
  temperature:	46C
  power_usage:	12404mW
  gpu_utilization:	0%
  memory_utilization:	19%


Monitoring GPUs with polling period of 250ms:


timestamp_ms,device_index,fan_speed,temperature,power_usage,gpu_utilization,memory_utilization
40078403,0,20,55,44312,55,24
40078655,0,20,54,43399,50,23
40078907,0,20,54,42344,49,22
40079160,0,20,55,41391,48,22
40079412,0,20,55,40908,48,22
40079664,0,20,54,42347,49,22
40079916,0,20,55,42912,48,23
40080169,0,20,54,44215,49,24
40080421,0,20,54,44795,49,24
40080673,0,20,54,43495,49,24
40080925,0,20,54,41861,47,23
40081178,0,20,54,40643,46,23
40081430,0,20,54,41015,44,22
40081683,0,20,54,42432,46,23
40081936,0,20,54,43205,45,23
40082188,0,20,54,43480,46,23
40082440,0,20,54,42251,44,22
40082692,0,20,54,43399,52,24
40082944,0,20,54,42529,51,25
40083196,0,20,54,42071,52,25
40083448,0,19,55,41213,52,25
40083700,0,19,54,44215,48,23
40083952,0,19,54,45088,49,23
40084204,0,19,54,44605,51,25
40084457,0,19,54,43012,48,24
40084709,0,19,54,42432,48,24
40084961,0,19,54,41419,48,24
40085213,0,19,54,41502,49,24
40085466,0,19,54,42944,49,24
40085718,0,19,54,44034,47,23
40085970,0,19,54,44312,49,24
40086223,0,19,54,43012,49,24
40086475,0,19,54,41861,46,23
40086727,0,19,54,41115,45,23
40086980,0,19,54,40908,45,23
40087232,0,19,54,42251,46,23
40087484,0,19,54,43205,47,24
40087737,0,19,54,43755,46,24
40087990,0,19,54,43109,47,23
40088242,0,19,54,42347,47,23
40088494,0,18,54,42335,48,23
40088746,0,18,54,42251,50,24
40088998,0,18,54,43012,50,24
40089251,0,18,54,43759,51,25
40089504,0,18,54,44824,51,25
40089756,0,18,54,43773,51,25
40090008,0,18,54,42815,49,24
40090260,0,18,54,42251,49,24
40090512,0,18,54,41861,49,24
40090764,0,18,54,42151,50,24
40091017,0,18,54,43012,50,24
40091269,0,18,54,44231,50,24
40091521,0,18,54,44505,50,24
40091773,0,18,54,43676,50,24
40092026,0,18,54,40559,51,24
40092278,0,18,54,42168,48,23
40092530,0,18,54,41957,49,24
40092783,0,17,54,42819,50,24
40093035,0,17,54,43841,50,25
40093287,0,17,54,44601,50,24
40093539,0,17,54,44148,49,23
40093791,0,17,54,42625,48,23
40094044,0,17,54,41681,48,23
40094296,0,17,54,41294,48,23
40094548,0,17,54,41667,48,24
40094801,0,17,54,42347,46,23
40095053,0,17,54,43966,47,24
40095306,0,17,54,42944,47,23
40095558,0,17,54,42251,47,23
40095810,0,17,54,41308,46,23
40096062,0,17,54,40908,47,23
40096315,0,16,54,41211,47,23
40096567,0,16,54,42151,45,22
40096818,0,16,54,42625,46,23
40097071,0,16,54,43814,47,23
40097323,0,16,54,43012,47,23
40097575,0,16,54,41957,47,24
40097828,0,16,54,41709,51,24
40098080,0,16,54,41018,48,24
40098331,0,16,54,41198,49,23
40098584,0,16,54,42529,47,23
40098836,0,16,53,43205,48,22
40099088,0,15,54,44438,51,24
40099340,0,15,54,43495,51,24
40099593,0,15,54,42529,51,23
40099845,0,15,54,41488,50,23
40100098,0,15,54,41405,49,23
40100350,0,15,54,42275,49,23
40100602,0,15,54,43399,50,23
40100855,0,15,54,44508,52,23
40101107,0,15,54,43592,54,23
40101360,0,15,54,41957,48,23
40101612,0,15,54,41198,48,23
40101864,0,15,54,41294,51,24
40102117,0,15,54,42239,49,23
40102369,0,15,54,43288,49,23
40102621,0,14,54,43563,49,23
40102873,0,14,54,43495,51,23
40103126,0,14,54,43331,48,23
40103378,0,14,54,42944,51,24
40103631,0,14,54,42335,53,25
40103883,0,14,54,43094,50,24
40104135,0,14,54,43592,51,25
40104387,0,14,54,44601,50,24
40104640,0,14,54,43785,51,25
40104893,0,14,54,42722,52,25
40105146,0,14,54,42861,51,25
40105398,0,14,54,42446,52,25
40105650,0,13,54,42915,51,25
40105903,0,13,54,44439,51,25
40106155,0,13,54,44991,51,25
40106407,0,13,53,43952,52,25
40106659,0,13,54,43495,49,24
40106911,0,13,54,42625,50,24
40107163,0,13,54,42057,49,24
40107415,0,13,54,42625,49,24
